Atomic number,Element name,Element symbol,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,5f,6s,6p,6d,7s
58,Cerium,Ce,2,2,8,2,6,10,2,6,10,2,2,6,-,-,2,-,-,-
59,Praseodymium,Pr,2,2,8,2,6,10,2,6,10,3,2,6,-,-,2,-,-,-
60,Neodymium,Nd,2,2,8,2,6,10,2,6,10,4,2,6,-,-,2,-,-,-
61,Promethium,Pm,2,2,8,2,6,10,2,6,10,5,2,6,-,-,2,-,-,-
62,Samarium,Sm,2,2,8,2,6,10,2,6,10,6,2,6,-,-,2,-,-,-
63,Europium,Eu,2,2,8,2,6,10,2,6,10,7,2,6,-,-,2,-,-,-
64,Gadolinium,Gd,2,2,8,2,6,10,2,6,10,7,2,6,1,-,2,-,-,-
65,Terbium,Tb,2,2,8,2,6,10,2,6,10,9,2,6,-,-,2,-,-,-
66,Dysprosium,Dy,2,2,8,2,6,10,2,6,10,10,2,6,-,-,2,-,-,-
67,Holmium,Ho,2,2,8,2,6,10,2,6,10,11,2,6,-,-,2,-,-,-
68,Erbium,Er,2,2,8,2,6,10,2,6,10,12,2,6,-,-,2,-,-,-
69,Thulium,Tm,2,2,8,2,6,10,2,6,10,13,2,6,-,-,2,-,-,-
70,Ytterbium,Yb,2,2,8,2,6,10,2,6,10,14,2,6,-,-,2,-,-,-
71,Lutetium,Lu,2,2,8,2,6,10,2,6,10,14,2,6,1,-,2,-,-,-
72,Hafnium,Hf,2,2,8,2,6,10,2,6,10,14,2,6,2,-,2,-,-,-
73,Tantalum,Ta,2,2,8,2,6,10,2,6,10,14,2,6,3,-,2,-,-,-
74,Tungsten,W,2,2,8,2,6,10,2,6,10,14,2,6,4,-,2,-,-,-
75,Rhenium,Re,2,2,8,2,6,10,2,6,10,14,2,6,5,-,2,-,-,-
76,Osmium,Os,2,2,8,2,6,10,2,6,10,14,2,6,6,-,2,-,-,-
77,Iridium,Ir,2,2,8,2,6,10,2,6,10,14,2,6,7,-,2,-,-,-
78,Platinum,Pt,2,2,8,2,6,10,2,6,10,14,2,6,9,-,1,-,-,-
79,Gold,Au,2,2,8,2,6,10,2,6,10,14,2,6,10,-,1,-,-,-
80,Mercury,Hg,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,-,-,-
81,Thalium,Tl,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,1,-,-
82,Lead,Pb,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,2,-,-
83,Bismuth,Bi,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,3,-,-
84,Polonium,Po,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,4,-,-
85,Astatine,At,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,5,-,-
86,Radon,Rn,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,-,-
87,Francium,Fr,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,-,1
88,Radium,Ra,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,-,2
89,Actinium,Ac,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,1,2
90,Thorium,Th,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,2,2
91,Protactinium,Pa,2,2,8,2,6,10,2,6,10,14,2,6,10,2,2,6,1,2
92,Uranium,U,2,2,8,2,6,10,2,6,10,14,2,6,10,3,2,6,1,2
93,Neptunium,Np,2,2,8,2,6,10,2,6,10,14,2,6,10,4,2,6,1,2
94,Plutonium,Pu,2,2,8,2,6,10,2,6,10,14,2,6,10,6,2,6,-,2
95,Americium,Am,2,2,8,2,6,10,2,6,10,14,2,6,10,7,2,6,-,2
96,Curium,Cm,2,2,8,2,6,10,2,6,10,14,2,6,10,7,2,6,1,2
97,Berkelium,Bk,2,2,8,2,6,10,2,6,10,14,2,6,10,9,2,6,-,2
98,Californium,Cf,2,2,8,2,6,10,2,6,10,14,2,6,10,10,2,6,-,2
99,Einsteinium,Es,2,2,8,2,6,10,2,6,10,14,2,6,10,11,2,6,-,2
100,Fermium,Fm,2,2,8,2,6,10,2,6,10,14,2,6,10,12,2,6,-,2
101,Mendelevium,Md,2,2,8,2,6,10,2,6,10,14,2,6,10,13,2,6,-,2
102,Nobelium,No,2,2,8,2,6,10,2,6,10,14,2,6,10,14,2,6,-,2
103,Lawrencium,Lr,2,2,8,2,6,10,2,6,10,14,2,6,10,14,2,6,1,2
104,Rutherfordium,Rf,2,2,8,2,6,10,2,6,10,14,2,6,10,14,2,6,2,2
